created_at,entry_id,field1
2017-11-21 21:06:14 UTC,1,36
2017-11-21 21:06:56 UTC,2,34
2017-11-21 21:07:43 UTC,3,36
2017-11-21 21:08:31 UTC,4,37
2017-11-21 21:09:18 UTC,5,36
2017-11-21 21:09:58 UTC,6,36
2017-11-21 21:10:48 UTC,7,40
2017-11-21 21:11:28 UTC,8,36
2017-11-21 21:17:02 UTC,9,255
2017-11-21 21:17:51 UTC,10,42
2017-11-21 21:18:40 UTC,11,36
2017-11-21 21:19:21 UTC,12,36
2017-11-21 21:20:02 UTC,13,40
2017-11-21 21:20:49 UTC,14,37
2017-11-21 21:21:29 UTC,15,36
2017-11-21 21:22:17 UTC,16,36
2017-11-21 21:23:04 UTC,17,39
2017-11-21 21:23:49 UTC,18,44
2017-11-21 21:24:36 UTC,19,36
2017-11-21 21:25:19 UTC,20,36
2017-11-21 21:26:05 UTC,21,43
2017-11-21 21:26:49 UTC,22,36
2017-11-21 21:27:38 UTC,23,36
2017-11-21 21:31:43 UTC,24,255
2017-11-21 21:32:37 UTC,25,39
2017-11-21 21:33:34 UTC,26,43
2017-11-21 21:34:21 UTC,27,35
2017-11-21 21:35:32 UTC,28,255
2017-11-21 21:36:29 UTC,29,39
2017-11-21 21:37:18 UTC,30,37
2017-11-21 21:37:59 UTC,31,35
2017-11-21 21:38:46 UTC,32,40
2017-11-21 21:39:28 UTC,33,36
2017-11-21 21:40:09 UTC,34,36
2017-11-21 21:40:54 UTC,35,38
2017-11-21 21:41:37 UTC,36,43
2017-11-21 21:42:26 UTC,37,36
2017-11-21 21:43:08 UTC,38,36
2017-11-21 21:43:47 UTC,39,37
2017-11-21 21:44:41 UTC,40,36
2017-11-21 21:45:25 UTC,41,38
2017-11-21 21:46:08 UTC,42,36
2017-11-21 21:46:53 UTC,43,39
2017-11-21 21:47:36 UTC,44,38
2017-11-21 21:48:26 UTC,45,39
2017-11-21 21:49:11 UTC,46,36
2017-11-21 21:50:00 UTC,47,36
2017-11-21 21:50:39 UTC,48,36
2017-11-21 21:51:25 UTC,49,36
2017-11-21 21:52:09 UTC,50,36
2017-11-21 21:52:57 UTC,51,36
2017-11-21 21:53:39 UTC,52,39
2017-11-21 21:54:19 UTC,53,36
2017-11-21 21:55:06 UTC,54,36
2017-11-21 21:55:47 UTC,55,39
2017-11-21 21:56:36 UTC,56,36
2017-11-21 21:57:18 UTC,57,37
2017-11-21 21:58:04 UTC,58,37
2017-11-21 21:58:52 UTC,59,36
2017-11-21 21:59:36 UTC,60,36
2017-11-21 22:00:21 UTC,61,36
2017-11-21 22:01:05 UTC,62,36
2017-11-21 22:01:54 UTC,63,36
2017-11-21 22:02:40 UTC,64,36


